Invoice,InvoiceDate,CustomerID,Country,StockCode,Description,Category,Quantity,Price,TotalLine
INV5432,2024-11-12,34567,Unknown,45678AK,White Wooden Love Heart Hook,Home Decor & Furnishings,1,24.33,24.33
INV2109,2024-11-12,64567,Italy,84406B,Vintage Union Jack Cushion Cover,Home Decor & Furnishings,70,76.3,5341.0
INV2109,2024-11-12,64567,United Arab Emirates,84406B,Vintage Union Jack Cushion Cover,Home Decor & Furnishings,70,76.3,5341.0
INV9876,2024-11-12,64567,Italy,24680BR,Metal Bicycle Photo Clip Holder,Unknown Category,6,63.78,382.68
INV9876,2024-11-12,64567,United Arab Emirates,24680BR,Metal Bicycle Photo Clip Holder,Unknown Category,6,63.78,382.68
INV5432,2024-11-12,62789,Unknown,24680AH,Large Canvas Storage Basket,Storage & Organization,77,56.62,4359.74
INV8765,2024-11-12,29583,Finland,24680AH,Large Canvas Storage Basket,Storage & Organization,65,56.62,3680.2999999999997
INV5432,2024-11-12,92789,Austria,85123CF,Giant Polka Dot Beach Ball,Unknown Category,62,56.62,3510.44
INV5432,2024-11-12,92789,Norway,85123CF,Giant Polka Dot Beach Ball,Unknown Category,62,56.62,3510.44
INV5432,2024-11-12,92789,EIRE,85123CF,Giant Polka Dot Beach Ball,Unknown Category,62,56.62,3510.44
INV8765,2024-11-12,45321,Bahrain,65432BH,Gold Star Confetti Pack,Gifts & Novelty Items,80,51.57,4125.6
INV8765,2024-11-12,70678,Unknown,71053AE,Green Retro Metal Dustbin,Unknown Category,13,58.08,755.04
INV9012,2024-11-13,91324,Switzerland,98765N,Retro Camera Pencil Sharpener,Stationery & Office,66,1.32,87.12
INV8765,2024-11-13,30117,United Kingdom,56321CC,Silver Plated Cake Slice,Retro & Vintage,61,60.01,3660.6099999999997
INV2190,2024-11-13,63210,Lithuania,65432BZ,Tiny Metal Suitcase Storage Box,Storage & Organization,70,87.78,6144.6
INV2190,2024-11-13,63210,Canada,65432BZ,Tiny Metal Suitcase Storage Box,Storage & Organization,70,87.78,6144.6
INV9876,2024-11-13,70678,Unknown,45678BU,Set/2 Striped Kitchen Aprons,Unknown Category,18,87.91,1582.3799999999999
INV8901,2024-11-13,35109,RSA,54321M,Set of 6 Christmas Crackers,Seasonal & Holiday,40,32.61,1304.4
INV8901,2024-11-13,35109,Israel,54321M,Set of 6 Christmas Crackers,Seasonal & Holiday,40,32.61,1304.4
INV6543,2024-11-13,21340,Hong Kong,45678S,Black Skull & Crossbone Lunch Box,Travel Accessories,32,39.38,1260.16
INV6543,2024-11-13,21340,Belgium,45678S,Black Skull & Crossbone Lunch Box,Travel Accessories,32,39.38,1260.16
INV0987,2024-11-13,27183,Greece,13579CI,Ceramic Vintage Car Ornament,Retro & Vintage,46,86.98,4001.0800000000004
INV2190,2024-11-13,90678,Sweden,78543AR,Children's Animal Print Apron,Kids & Toys,40,30.41,1216.4
INV2190,2024-11-13,90678,Japan,78543AR,Children's Animal Print Apron,Kids & Toys,40,30.41,1216.4
INV7654,2024-11-13,73210,Unknown,86420BS,Yellow Submarine Lunch Bag,Travel Accessories,46,58.07,2671.22
INV8765,2024-11-13,23494,Unknown,86420Q,Giant Wooden Game Dice,Kids & Toys,22,23.8,523.6
INV8765,2024-11-13,23494,Unknown,67890BY,Personalised Name Mug,Mugs & Drinkware,49,56.64,2775.36
INV1098,2024-11-13,94567,Unknown,98765BV,Large Blue Ceramic Serving Bowl,Unknown Category,68,69.76,4743.68
INV1098,2024-11-13,73210,Unknown,86420BA,Miniature Ceramic Toadstool Set,Seasonal & Holiday,28,69.28,1939.8400000000001
INV4321,2024-11-13,75321,Unknown,78543Z,Wooden Happy Birthday Bunting,Home Decor & Furnishings,41,47.0,1927.0
INV4321,2024-11-14,15093,Saudi Arabia,71053D,Ceramic Cherry Blossom Mug,Kitchenware & Dining,30,97.12,2913.6000000000004
INV7890,2024-11-14,24133,France,24680CJ,Small Woven Laundry Hamper,Storage & Organization,56,64.1,3589.5999999999995
INV7890,2024-11-14,24133,Singapore,24680CJ,Small Woven Laundry Hamper,Storage & Organization,56,64.1,3589.5999999999995
INV1098,2024-11-14,13767,Bahrain,30987CS,Set/3 Small Tin Canisters,Storage & Organization,25,45.7,1142.5
INV9876,2024-11-14,62789,Unknown,12345CP,Glass Skull Head Cocktail Mug,Gifts & Novelty Items,10,11.32,113.2
INV2190,2024-11-14,29583,Finland,30987AQ,Antique Style Key Fob,Gifts & Novelty Items,78,96.8,7550.4
INV2109,2024-11-14,54567,Hong Kong,85123CF,Giant Polka Dot Beach Ball,Unknown Category,7,56.62,396.34
INV2109,2024-11-14,98567,Unknown,71053AW,Giant Pencil Eraser Set,Stationery & Office,46,61.15,2812.9
INV2190,2024-11-14,42678,Germany,13579AG,Gold Star Design Paper Napkins,Gifts & Novelty Items,64,14.77,945.28
INV2190,2024-11-14,30117,United Kingdom,45678S,Black Skull & Crossbone Lunch Box,Travel Accessories,41,39.38,1614.5800000000002
INV7890,2024-11-14,67321,Unknown,93207CV,Set/4 Coloured Ceramic Egg Cups,Unknown Category,15,98.48,1477.2
INV2190,2024-11-14,17850,Israel,93207BL,Geometric Print Notebook A5,Stationery & Office,46,29.67,1364.8200000000002
INV7654,2024-11-14,24133,France,71053D,Ceramic Cherry Blossom Mug,Kitchenware & Dining,3,97.12,291.36
INV7654,2024-11-14,24133,Singapore,71053D,Ceramic Cherry Blossom Mug,Kitchenware & Dining,3,97.12,291.36
INV3456,2024-11-14,20139,Brazil,12345AN,Pink Retro Spotty Shower Cap,Bath & Body,71,21.15,1501.6499999999999
INV3456,2024-11-14,20139,Lebanon,12345AN,Pink Retro Spotty Shower Cap,Bath & Body,71,21.15,1501.6499999999999
INV3456,2024-11-14,97321,Poland,30987AQ,Antique Style Key Fob,Gifts & Novelty Items,34,96.8,3291.2
INV3456,2024-11-14,97321,Italy,30987AQ,Antique Style Key Fob,Gifts & Novelty Items,34,96.8,3291.2
INV3456,2024-11-15,44567,Unknown,30987Y,Clear Glass Storage Jar with Lid,Unknown Category,45,70.53,3173.85
INV8765,2024-11-15,36472,Czech Republic,24680AH,Large Canvas Storage Basket,Storage & Organization,70,56.62,3963.3999999999996
INV0123,2024-11-15,12583,EIRE,78543Z,Wooden Happy Birthday Bunting,Home Decor & Furnishings,47,47.0,2209.0
INV0123,2024-11-15,12583,Lebanon,78543Z,Wooden Happy Birthday Bunting,Home Decor & Furnishings,47,47.0,2209.0
INV5678,2024-11-15,61324,Czech Republic,67890BY,Personalised Name Mug,Mugs & Drinkware,80,56.64,4531.2
INV5678,2024-11-15,61324,RSA,67890BY,Personalised Name Mug,Mugs & Drinkware,80,56.64,4531.2
INV5678,2024-11-15,61324,Brazil,67890BY,Personalised Name Mug,Mugs & Drinkware,80,56.64,4531.2
INV0987,2024-11-15,59213,Netherlands,56321AS,Woven Picnic Hamper Basket,Gifts & Novelty Items,46,66.55,3061.2999999999997
INV0987,2024-11-15,28422,Germany,84406AF,Set of 12 Coloured Pencils,Stationery & Office,37,3.75,138.75
INV7654,2024-11-15,22019,Germany,22045AU,Metal Butterfly Garden Ornament,Home Decor & Furnishings,27,92.65,2501.55
INV7654,2024-11-15,22019,Netherlands,22045AU,Metal Butterfly Garden Ornament,Home Decor & Furnishings,27,92.65,2501.55
INV3456,2024-11-15,49213,Unknown,93207BL,Geometric Print Notebook A5,Stationery & Office,73,29.67,2165.9100000000003
INV9012,2024-11-15,44567,Unknown,65432CR,Keep Calm Fridge Magnet Set,Unknown Category,2,66.16,132.32
INV0987,2024-11-15,83210,Sweden,84406AX,Orange & Yellow Stripe Throw,Home Decor & Furnishings,4,89.52,358.08
INV0987,2024-11-15,83210,United Kingdom,84406AX,Orange & Yellow Stripe Throw,Home Decor & Furnishings,4,89.52,358.08
INV0987,2024-11-15,83210,Japan,84406AX,Orange & Yellow Stripe Throw,Home Decor & Furnishings,4,89.52,358.08
INV0987,2024-11-15,83210,Iceland,84406AX,Orange & Yellow Stripe Throw,Home Decor & Furnishings,4,89.52,358.08
INV8765,2024-11-15,92789,Austria,22045AC,Silver Plated Photo Frame 5x7,Home Decor & Furnishings,71,82.01,5822.71
INV8765,2024-11-15,92789,Norway,22045AC,Silver Plated Photo Frame 5x7,Home Decor & Furnishings,71,82.01,5822.71
INV8765,2024-11-15,92789,EIRE,22045AC,Silver Plated Photo Frame 5x7,Home Decor & Furnishings,71,82.01,5822.71
INV2109,2024-11-15,58567,Cyprus,45678S,Black Skull & Crossbone Lunch Box,Travel Accessories,22,39.38,866.36
